title,link
MountainWest RubyConf 2013 'Postgres Demystified' Talk,http://www.youtube.com/watch?v=3TnVl97ZZL8
Postgres Community Life,http://pglife.momjian.us/
A Draft of PostgreSQL 9.3's Release Notes,http://www.postgresql.org/docs/devel/static/release-9-3.html
Heroku Postgres - Fully managed Postgres on EC2,https://postgres.heroku.com/&utm_campaign=emailbanner
,https://postgres.heroku.com/&utm_campaign=emailbanner
Nearest Big City,http://tapoueh.org/blog/2013/05/02-nearest-big-city.html
,http://tapoueh.org/blog/2013/05/02-nearest-big-city.html
Arrays and Indexing: Problems and Solutions,http://ledgersmbdev.blogspot.com/2013/05/arrays-and-indexing-problems-and.html
Explaining the Un-EXPLAIN-able – Part 2,http://www.depesz.com/2013/04/27/explaining-the-unexplainable-part-2/
watch in psql,http://michael.otacoo.com/postgresql-2/postgres-9-3-feature-highlight-watch-in-psql/
@leinweber,http://twitter.com/leinweber
Postgres; the Best Tool You're Already Using,http://adamsanderson.github.io/railsconf_2013/?full#1
Craig Kerstiens,http://craigkerstiens.com/

