title,link
Peter Cooper,http://twitter.com/peterc/
Dr. Axel Rauschmayer,http://www.2ality.com/
Writing Your First Sweet.js Macro,http://jlongster.com/Writing-Your-First-Sweet.js-Macro
JavaScript Puzzlers: A 37 Question JavaScript Quiz,http://javascript-puzzlers.herokuapp.com/
FutureJS: A Futuristic JavaScript Conference (May 1-3 - Barcelona; Spain),http://futurejs.org/
JavaScript Tools of the Trade: JSBin,http://code.tutsplus.com/tutorials/javascript-tools-of-the-trade-jsbin--net-36843
Yet Another Framework Syndrome (YAFS),http://blog.tastejs.com/yet-another-framework-syndrome-yafs
Creating a Simple RESTful Webapp with Node.js; Express; and MongoDB,http://cwbuecheler.com/web/tutorials/2014/restful-web-app-node-express-mongodb/
Building Static Websites with Meteor,http://meteorhacks.com/building-static-websites-with-meteor.html
Stop Writing 'for' Loops; Start using Underscore,http://www.joelhooks.com/blog/2014/02/06/stop-writing-for-loops-start-using-underscorejs/
Performance Comparisons with the TodoMVC Benchmark,http://vuejs.org/perf/
Partial Application in JavaScript using bind(),http://passy.svbtle.com/partial-application-in-javascript-using-bind
How Kendo UI Uses Kendo UI To Build Angular Directives For Kendo UI,http://flippinawesome.org/2014/02/03/how-kendo-ui-uses-kendo-ui-to-build-angular-directives-for-kendo-ui/
How to Build A Framework On Top of Backbone.js,http://blog.peterdecroos.com/blog/2014/01/06/lets-build-a-backbone-based-framework/
Angular; Ember; And Backbone: Which JavaScript Framework Is Right For You?,http://readwrite.com/2014/02/06/angular-backbone-ember-best-javascript-framework-for-you
How A Small String Can Save You Hours in JavaScript,http://www.webdesignporto.com/why-use-strict-in-javascript-can-save-you-hours/
Examples of the Marvel Comics API,http://www.raymondcamden.com/index.cfm/2014/2/2/Examples-of-the-Marvel-API
Adopting a Modular Workflow with Require.js,http://gregfranko.com/requirejs-talk/
JavaScript Arrays: slice vs splice,http://ariya.ofilabs.com/2014/02/javascript-array-slice-vs-splice.html
Private Fields in JavaScript using ES6 Symbols,https://curiosity-driven.org/private-fields-using-symbols
Code Organization in AngularJS,http://engineering.nulogy.com/posts/code-organization-in-angular/
Go Node Without Code,http://programming.oreilly.com/2014/02/go-node-without-code.html
Senior JavaScript Software Engineer (Waltham MA.),http://jobs.constantcontact.com/
Senior Front End Software Engineer (Seattle; WA),http://moz.theresumator.com/apply/HaSNk1/Senior-Front-End-Software-Engineer.html?source=JSWEEKLY
ClippyJS: Add Old School Microsoft 'Agents' To Your Page,https://www.smore.com/clippy-js
,https://www.smore.com/clippy-js
Vue.js: MVVM Made Simple,http://vuejs.org
SigmaJS: Graph Drawing Library with Canvas and WebGL Renderers,http://sigmajs.org/
PathGL: A WebGL Renderer for D3,https://github.com/adnan-wahab/pathgl
DreamFactory - An Open Source Backend Platform & REST API for HTML5 App Development,http://www.dreamfactory.com/

