title,link
Building The Facebook News Feed With Relay,http://facebook.github.io/react/blog/2015/03/19/building-the-facebook-news-feed-with-relay.html
Chrome DevTools: State Of The Union 2015,https://speakerdeck.com/addyosmani/devtools-state-of-the-union-2015
Angular Basics; An Interactive Book for Learning Angular,http://www.angularjsbook.com/
Try RASON™ – RESTful Analytic Solver™ Object Notation for Web/Mobile Apps,https://rason.com/&utm_campaign=mar20
RASON,https://rason.com/&utm_campaign=mar20
,https://rason.com/&utm_campaign=mar20
New JavaScript Techniques for Rapid Page Loads,http://blog.chromium.org/2015/03/new-javascript-techniques-for-rapid.html
The Destructuring Algorithm in ECMAScript 6,http://www.2ality.com/2015/03/destructuring-algorithm.html
35 Talks and Keynotes from the ng-conf 2015 Conference,http://ng-conf.org/
Building a Mobile JavaScript Powered Audio Player,http://www.sitepoint.com/building-mobile-javascript-powered-audio-player/
Best Practices and Components with React: An Online Event,http://www.oreilly.com/pub/e/3378
Opening for Front End Developer @ Queue Software (Raleigh; NC),http://queuesoftware.com/frontend
Frontend Engineer (Full-Stack),http://jobs.babbel.com/en/
Freelance with Companies like Airbnb; IDEO & JPMorgan,http://www.toptal.com/developers?utm_source=js_weekly&utm_medium=cpm-newsletter&utm_campaign=js_weekly_job
The ES6 Spec; Release Candidate 3,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts#march_17_2015_rev_36_release_candidate_3
New e-book: React+d3.js: How to Build Data Visualizations with React and d3.js,http://swizec.com/reactd3js/
'You Don't Know JavaScript' Workshop Online,https://frontendmasters.com/workshops/using-all-of-javascript/
Join in LIVE April 3rd.,https://frontendmasters.com/workshops/using-all-of-javascript/
Building a Pacman Game With Bacon.js,http://www.sitepoint.com/building-pacman-with-bacon-js/
Using Dependency Injection in Your JavaScript Unit Tests with Rewire,https://strongloop.com/strongblog/javascript-unit-testing-using-dependency-injection/
Understanding ECMAScript 6: Class and Inheritance,http://www.sitepoint.com/understanding-ecmascript-6-class-inheritance/
Understanding Collisions and Physics with Babylon.js and Oimo.js,http://www.sitepoint.com/understanding-collisions-physics-babylon-js-oimo-js/
A Quick Intro to Azure DocumentDB's Server-Side JavaScript,http://channel9.msdn.com/Blogs/Windows-Azure/Azure-Demo-A-Quick-Intro-to-Azure-DocumentDBs-Server-Side-Javascript
Defensive JavaScript? Yes; Please!,http://blog.javascripting.com/2015/03/18/defensive-javascript/
About The JS1k 2015 Competition,http://www.michalpaszkiewicz.co.uk/about-js1k2015.html
The Spy in the Sandbox: Practical Cache Attacks in JavaScript,http://arxiv.org/abs/1502.07373#
24% of database devs don’t use source control. Do you?,http://www.red-gate.com/products/sql-development/sql-source-control/?utm_source=javascriptweekly&utm_medium=displayemail&utm_content=24_percent&utm_campaign=sqlsourcecontrol&utm_term=email-23340
payform: Library for Building Credit Card Forms + Validating and Formatting,http://jondavidjohn.github.io/payform/
MuJS: An Embeddable JavaScript Interpreter Written in C,http://mujs.com/
jsGrid: A Lightweight Grid jQuery Plugin,http://js-grid.com/
Textures.js: SVG Patterns for Data Visualization,http://riccardoscalco.github.io/textures/
is.js: A Helper Library for 'Checking' Things,http://arasatasaygin.github.io/is.js/

