title,link
Read this e-mail on the Web,http://rubyweekly.com/issues/204
How I Start Ruby: Building a Gem with Steve Klabnik,http://www.howistart.org/posts/ruby/1
GoRails: A New Rails Screencast Series,https://gorails.com/
Build your own Heroku,https://www.cloud66.com/
,https://www.cloud66.com/
Pushing Pixels with JRuby+Truffle,http://www.chrisseaton.com/rubytruffle/pushing-pixels/
The Future of Ruby Performance Tooling (video),https://www.youtube.com/watch?v=cOaVIeX6qGg&list=UUWnPjmqvljcafA0z2U1fwKQ
The Most Common Mistakes on Legacy Rails Apps,http://edelpero.svbtle.com/most-common-mistakes-on-legacy-rails-apps
How to Debug Anything (video),https://www.youtube.com/watch?v=VV7b7fs4VI8&list=UUWnPjmqvljcafA0z2U1fwKQ
Apply to New York City’s top startups in 60 seconds,https://www.underdog.io/&utm_campaign=youdecide
Junior Rails Developer at Squaremouth,http://jobs.rubyinside.com/a/jbb/job-details/993606
Rails Engineer at VerticalResponse (San Francisco),http://jobs.rubyinside.com/a/jbb/job-details/994123
Implementing a Fast Autocomplete Search System with Rails and Redis,http://josephndungu.com/tutorials/fast-autocomplete-search-terms-rails
High-Low Testing,http://mikepackdev.com/blog_posts/39-high-low-testing
4 Ways to Early Return From A Rails Controller,http://blog.arkency.com/2014/07/4-ways-to-early-return-from-a-rails-controller/
Create A Simple Jekyll-like Blog in your Rails 4 App,https://exceptiontrap.com/blog/4-create-a-simple-jekyll-like-blog-in-your-rails-4-app
Rails 4 and PostgreSQL Arrays,http://blog.plataformatec.com.br/2014/07/rails-4-and-postgresql-arrays/
Why We Use React.js in our Rails Projects,http://blog.arkency.com/2014/07/why-we-use-react-js-in-our-rails-projects/
Learn Ruby by Example using Sourcegraph,https://www.youtube.com/watch?v=YYL0ZoPeB5w
Edge Caching Dynamic Rails Apps,https://www.youtube.com/watch?v=60rjetFNA_Q&list=UUWnPjmqvljcafA0z2U1fwKQ
Busker: A Simple Sintra-inspired Web Framework in Under 50 Lines,https://github.com/pachacamac/busker
Squasher: Compresses Old Migrations in Rails Apps,https://github.com/jalkoby/squasher
RubySerial: FFI Ruby Library for Serial Port Communication,https://github.com/hybridgroup/rubyserial
gallerize: Generate A Static Gallery From A Set of Images,https://github.com/blakehilscher/gallerize
AppSignal; because devs deserve waffles,https://appsignal.com/rubyweekly

