title,link
Previous issues,http://rubyweekly.com/issues
Securing Your Rails Application: A Webinar (April 9),https://bluebox.net/webinar/securing-rails-app
Ruby Matrix; the Forgotten Library,http://rubylearning.com/blog/2013/04/04/ruby-matrix-the-forgotten-library/
EuRuKo 2013 Call for Presentations,http://cfp.euruko2013.org/proposals
RubyConf Brasil 2013 Call for Proposals,http://cfp.rubyconf.com.br/
Flame Graphs in Ruby MiniProfiler,http://samsaffron.com/archive/2013/03/19/flame-graphs-in-ruby-miniprofiler
,http://samsaffron.com/archive/2013/03/19/flame-graphs-in-ruby-miniprofiler
Single Table Inheritance + Hstore = Lovely Combination,http://www.devmynd.com/blog/2013-3-single-table-inheritance-hstore-lovely-combination
Assam: A VM in Ruby,http://samwho.co.uk/blog/2013/03/30/assam-a-vm-in-ruby/
Heroku's Routing and Web Performance FAQ,https://blog.heroku.com/archives/2013/4/2/routing_and_web_performance_on_heroku_a_faq
Using Unicorn Worker Killer to Reduce Queue Backlog On Heroku with Unicorn,http://mycatwantstolearnrails.blogspot.co.uk/2013/04/heroku-unicorn-request-backlog.html
Upgrade to Rails 4: An E-book by Philip De Smedt,https://leanpub.com/upgradetorails4
Things That Clear Ruby's Method Cache,http://charlie.bz/blog/things-that-clear-rubys-method-cache
Concurrent Programming and Threads in Ruby: A Reading List,http://speakmy.name/2013/04/02/concurrent-programming-and-threads-in-ruby-reading-list/
The No Nonsense Guide To Getting Started with Ember.js on Rails,http://blog.dcxn.com/2013/03/23/getting-started-with-ember-js-on-rails/
Fast Rails Commands,http://railscasts.com/episodes/412-fast-rails-commands
The Ruby Rogues Discuss Ruby 2.0,http://rubyrogues.com/099-rr-ruby-2/
Rails 4: Zombie Outlaws: Code School's Latest Course,http://www.codeschool.com/courses/rails-4-zombie-outlaws
Raspberry Pi + Ruby + GPIO = Amazing Fun,http://isotope11.com/blog/raspberry-pi-plus-ruby-plus-gpio-equals-amazing-fun
How Shopify Scales Rails,http://confreaks.com/videos/2303-bigruby2013-how-shopify-scales-rails
5 Things You Didn't Know About Chef,http://confreaks.com/videos/2301-bigruby2013-5-things-you-didn-t-know-about-chef
Parade: Sinatra-powered Presentations Written in Markdown,http://jumpstartlab.com/news/archives/2013/03/27/parade-version-0-10
JewelryBox v1.5 Released: The Official OS X RVM GUI App,http://remear.unfiniti.com/blog/2013/04/01/jewelrybox-v1-5/
Sentimental: Simple Sentiment Analysis with Ruby,https://github.com/7compass/sentimental
Ruby Developer,http://hire.jobvite.com/j/?cj=oqRWWfwT&s=Ruby_weekly
Software Engineering / Academic Applications Developer at Dartmouth College [Hanover; New Hampshire],http://jobs.rubyinside.com/a/jbb/job-details/803306
Software Engineer at Nextpoint [Madison; Wisconsin],http://jobs.rubyinside.com/a/jbb/job-details/805424
Senior Back End Software Engineer at The Washington Post [District of Columbia],http://jobs.rubyinside.com/a/jbb/job-details/806334
Tired of slow; unreliable Redis hosting?,http://www.redisgreen.net/

