title,link
Previous issues,http://rubyweekly.com/issues
Scout,https://scoutapp.com/
Scout,https://scoutapp.com/
The 'Pragmatic Guide to Sass' Now Available in Beta,http://pragprog.com/book/pg_sass/hcatlin
,http://pragprog.com/book/pg_sass/hcatlin
JRuby 1.6.4 Released,http://jruby.org/2011/08/22/jruby-1-6-4.html
RubyGems 1.8.9 Released,http://blog.segment7.net/2011/08/23/rubygems-1-8-9
RubyShift 2011: 2 Day Ruby Conference in Ukraine (October 22-23),http://rubyshift.org/
StartupDigest: Subscribe To The Best Information From The Tech Startup World,http://startupdigest.com/
,http://startupdigest.com/
A Gentle Introduction to CarrierWave (The Uploader System),http://www.engineyard.com/blog/2011/a-gentle-introduction-to-carrierwave/
5 Different Types of Code Reuse in RSpec,http://testdrivenwebsites.com/2011/08/17/different-ways-of-code-reuse-in-rspec/
Test Multiple Rubies by Combining Bundler and RVM,http://collectiveidea.com/blog/archives/2011/08/22/test-multiple-rubies-by-combining-bundler-and-rvm/
The Scala and Ruby Rosetta Stone,http://www.nevercertain.com/2011/08/17/scala-ruby-rosetta.html
Be Careful How You Override,http://carboni.ca/blog/p/Be-Careful-How-You-Override
Write Your Own Gemspecs,http://blog.leshill.org/blog/2011/08/21/write-your-own-gemspec.html
How to Replace The Rails Console With Pry,http://www.dotnetguy.co.uk/post/2011/08/23/replace-the-rails-console-with-pry
Writing Software; Not Code; With Cucumber,http://www.slideshare.net/bmabey/writing-software-not-code-with-cucumber
Creating Asynchronous Web Services with Goliath,http://laktek.com/2011/08/24/creating-asynchronous-web-services-with-goliath/
Tips for Migrating from Webrat to Capybara,http://zadasnotes.blogspot.com/2011/08/migrating-from-webrat-to-capybara.html
Pry with Rails (RailsCasts),http://railscasts.com/episodes/280-pry-with-rails
,http://railscasts.com/episodes/280-pry-with-rails
DevOpsCasts: 2 Screencasts on Using Chef,http://devops.mashion.net/
A JRuby Port of a Game by Minecraft's Creator,https://github.com/peterc/potc-jruby
,https://github.com/peterc/potc-jruby
Valium: The Cure for ActiveRecord Instantiation Anxiety,http://metautonomo.us/2011/08/24/the-cure-for-activerecord-instantiation-anxiety-valium/
Rugged: Ruby Bindings for libgit2 (A Pure C Git Library),https://github.com/libgit2/rugged
Pakyow: A New Ruby Web Framework,http://pakyow.com/
Steam Condenser: Access the Steam Gaming System from Ruby,http://koraktor.de/steam-condenser/
Ruby and Rails Engineers (Edinburgh; Scotland),http://www.freeagentcentral.com/company/jobs
Work at the Fastest Moving PaaS Startup; AppFog,http://blog.phpfog.com/2011/06/10/we-are-hiring/
Ultimate Agile Developer Job at Pivotal Labs [New York; New York],http://jobs.rubyinside.com/a/jbb/job-details/538481
Scout: Sys-Adminless Server Monitoring Built on Ruby,https://scoutapp.com/
,https://scoutapp.com/

