title,link
Previous issues,http://rubyweekly.com/issues
O'Reilly Fluent,http://fluentconf.com/
ruby-lang.org Source Now on GitHub,https://github.com/ruby/www.ruby-lang.org
Toward an Efficient Ruby 2.1 [PDF],http://rvm.jp/t.pdf
GoGaRuCo 2013: September 20-21; 2013 in San Francisco; CA,http://gogaruco.com/
Fix quality and security issues before they hit production,https://codeclimate.com/&utm_campaign=RW20130530
Try it for 14 days and get 50% off your first three months.,https://codeclimate.com/signup/account?promo_code=RW0513&utm_source=rubyweekly&utm_medium=email&utm_campaign=RW20130530
,https://codeclimate.com/&utm_campaign=RW20130530
RSpec's New Message Expectation Syntax,http://teaisaweso.me/blog/2013/05/27/rspecs-new-message-expectation-syntax/
Is Lock-Free Logging Safe?,http://www.jstorimer.com/blogs/workingwithcode/7982047-is-lock-free-logging-safe
Multi-Threaded Processing with Lazy Enumerables,http://dogbiscuit.org/mdub/weblog/Tech/Programming/Ruby/MultiThreadedProcessingWithLazyEnumerables
Building Extensions for The Newly Minted Minitest 5.0,http://christophersaunders.ca/index.php/2013/05/28/building-extensions-for-the-newly-minted-minitest-5-0/
Profile Ruby 2.0 Apps Using DTrace - Part 2,http://crypt.codemancers.com/posts/2013-05-04-profile-ruby-2-dot-0-apps-using-dtrace-part-2/
Using Event Machine in Normal Ruby (or Rails) Apps,http://pauldbergeron.com/ruby/eventmachine/event-machine-in-normal-ruby-or-rails-apps.html
Using the Google Maps API with Rails and Coffeescript,http://larsgebhardt.de/using-google-maps-api-with-ruby-on-rails/
Using Custom Setters to Clean Up Instance Variables,http://dougireton.com/blog/2013/05/19/ruby-fundamentals-using-custom-setters-to-clean-up-instance-variables/
RailsConf 2013 Videos,http://confreaks.com/events/railsconf2013
DHH's RailsConf 2013 Opening Keynote,http://www.confreaks.com/videos/2422-railsconf2013-opening-keynote-patterns-of-basecamp-s-application-architecture
ruby-install: Installs Ruby; JRuby or Rubinius,https://github.com/postmodern/ruby-install
Spree 2.0.0 Released,http://spreecommerce.com/blog/spree-2-0-0-released
Casting: Delegate Methods in Ruby and Preserve 'self',https://github.com/saturnflyer/casting/
Attrio: Typed Attributes for Ruby Objects,http://igor-alexandrov.github.io/blog/2013/05/23/attrio-typed-attributes-for-ruby-objects/
Phusion Passenger 4.0.4 Released,http://blog.phusion.nl/2013/05/27/phusion-passenger-4-0-4-released/
Ruby Developers at HouseTrip (London; UK),http://hire.jobvite.com/j/?cj=oqRWWfwT&s=Ruby_weekly
Ruby Web Engineer,http://www.polleverywhere.com/jobs#op-17565-ruby-web-engineer
Ruby on Rails Senior Developer at Berkeley Software Systems [Sunnyvale; California],http://jobs.rubyinside.com/a/jbb/job-details/837571
Rails Web Application Developer - 100% telecommute at DRH Internet Inc.,http://jobs.rubyinside.com/a/jbb/job-details/840691
AppSignal: Make your Rails apps fast & errorless,https://appsignal.com/?referrer=rubyweekly
Learning Ruby on Rails?,http://www.codelearn.org/learn-ruby-on-rails

