title,link
Previous issues,http://rubyweekly.com/issues
http://rubyweekly.com/archive/,http://rubyweekly.com/archive/
Nokogiri 1.4.4 Released,http://www.ruby-forum.com/topic/460905
awesome_print 1.3.1 Released,https://github.com/michaeldv/awesome_print
Wanna Speak at RailsConf 2011?,http://en.oreilly.com/rails2011/public/cfp/135
Beginning Ruby book on sale at Amazon - $17.83,http://www.amazon.com/gp/product/1430223634?ie=UTF8&tag=rubins-20
Rails 3.0.3: Faster ActiveRecord plus fixes,http://weblog.rubyonrails.org/2010/11/15/rails-3-0-3-faster-active-record-plus-plenty-of-fixes
Shopify's Path to Rails 3,http://blog.shopify.com/2010/11/16/our-upgrade-to-rails-3
Matt Aimonetti's MacRuby RubyConf Presentation,http://merbist.com/2010/11/12/rubyconf-2010-macruby-talk/
How to use JavaCC with JRuby,http://tomcopeland.blogs.com/juniordeveloper/2010/11/how-to-use-javacc-with-jruby.html
Does Ruby Have Too Many Equality Tests?,http://rubylearning.com/blog/2010/11/17/does-ruby-have-too-many-equality-tests/
Turn any Ruby object into a webapp (joke),https://gist.github.com/675667
gitmodel: ActiveModel compliant Git powered persistence framework,https://github.com/pauldowman/gitmodel
libvirt-rb: Control and manage VMs from Ruby,http://mitchellh.github.com/libvirt-rb/
Ruby Minstrel: Easily Observe Classes and Methods,https://github.com/jordansissel/ruby-minstrel
Sucker: Amazon Product Advertising API Wrapper for Ruby,http://gloss.papercavalier.com/sucker/
Ruby Developer [Bay Area/SF; CA],http://jobs.rubyinside.com/a/jbb/job-details/408053
Social media game developer [Manhattan Beach; CA],http://jobs.rubyinside.com/a/jbb/job-details/406271
Rails developer [Bethesda; MD],http://jobs.rubyinside.com/a/jbb/job-details/407596

