title,link
Mobile Web Weekly,http://mobilewebweekly.co
Moving Beyond the Responsive Web to the Adaptive Web,http://www.sitepoint.com/moving-beyond-responsive-web-adaptive-web/
Prioritizing Devices: Testing And Responsive Web Design,http://www.smashingmagazine.com/2014/07/14/testing-and-responsive-web-design/
Making The Mobile Web Fast; Feature-Rich; and Beautiful (video),https://www.youtube.com/watch?v=EXjPsvwIDwU
Create High Performance Mobile UIs with Famo.us,http://www.ibm.com/developerworks/library/wa-famous/index.html
Ionic Creator,http://ionicframework.com/creator/
Tappy: A custom tap event handler,http://filamentgroup.com/lab/tappy.html
The Cordova Plugin Ecosystem Is a Mess — This Is What We're Doing About It,http://developer.telerik.com/featured/cordova-plugin-ecosystem-mess/
Tomomi Imura on the Mobile Web and the Future of CSS,http://www.infoq.com/interviews/imura-mobile-web
WordPress + PhoneGap Mobile App - Adding Page Transitions,http://apppresser.com/wordpress-phonegap-mobile-app-page-transitions/
Building Apps that Run Everywhere with jQuery Mobile and PhoneGap (video),https://www.youtube.com/watch?v=h8ylWSbn7gU
Genuitec Unleashes GapDebug to the Public,http://www.prweb.com/releases/2014/07/prweb12008353.htm
Quantified Mobile: Some Love For PhoneGap Devs,http://blog.hipmob.com/post/91847963364/some-love-for-phonegap-devs
Cordova Sample: Reading a text file,http://www.raymondcamden.com/2014/7/15/Cordova-Sample-Reading-a-text-file
First release of Cordova Brackets extension,http://www.raymondcamden.com/2014/7/11/First-release-of-Cordova-Brackets-extension
Brian Rinaldi,https://twitter.com/remotesynth
Holly Schinsky,https://twitter.com/devgirlFL

