title,link
Writing Programs Using Ordinary Language,http://web.mit.edu/newsoffice/2013/writing-programs-using-ordinary-language-0711.html?utm_source=statuscode&utm_medium=email
Finding Undefined Behavior Bugs by Finding Dead Code,http://blog.regehr.org/archives/970?utm_source=statuscode&utm_medium=email
Open Source Your Code for Fame and Fortune,http://johnpolacek.github.io/open-source-for-fame-and-fortune/?utm_source=statuscode&utm_medium=email
A Gentle Introduction to Algorithm Complexity Analysis,http://discrete.gr/complexity/?utm_source=statuscode&utm_medium=email
Feeling stuck? Want to level up? Get rid of the magic and learn how things work,http://classes.codedinc.com/?utm_source=statuscode&utm_medium=email
Create Your Own Programming Language,http://createyourproglang.com/
Rails,http://owningrails.com/
Node.js,http://truthabouteventloops.com/
your language,http://proglangmasterclass.com/
,http://classes.codedinc.com/?utm_source=statuscode&utm_medium=email
An Introduction to Quantum Programming in Quipper [PDF],http://arxiv.org/pdf/1304.5485v1.pdf?utm_source=statuscode&utm_medium=email
Navigating the Postmodern Python World,http://www.stephendiehl.com/posts/postmodern.html?utm_source=statuscode&utm_medium=email
Anatomy of a Compiler Bug,http://www.mikeash.com/pyblog/friday-qa-2013-06-28-anatomy-of-a-compiler-bug.html?utm_source=statuscode&utm_medium=email
GitHub Flow in the Browser,https://github.com/blog/1557-github-flow-in-the-browser?utm_source=statuscode&utm_medium=email
Web Developer Money,http://www.aeonmagazine.com/living-together/james-somers-web-developer-money/?utm_source=statuscode&utm_medium=email
High Costs and Negative Value Of Pair Programming,http://namcookanalytics.com/high-costs-and-negative-value-of-pair-programming/?utm_source=statuscode&utm_medium=email
Hackference - A Combined Conference and Hackathon in Birmingham; UK,http://hackference.co.uk/?utm_source=statuscode&utm_medium=email
SassConf - A Modern Front-end Development Conference in New York City,http://sassconf.com/?utm_source=statuscode&utm_medium=email
PyCon US 2014 | Montréal | April 9th – April 17th,http://us.pycon.org/2014/?utm_source=statuscode&utm_medium=email
QueryTree: Explore Data; Without Code,http://querytreeapp.com/?utm_source=statuscode&utm_medium=email
Unity Tutorial in 19 Screencasts,http://www.youtube.com/playlist?list=PL5wwwUTwsa2ZIpJ-b38RHNzhciXZkBJpu
KONECT: The Koblenz Network (Data) Collection,http://konect.uni-koblenz.de/?utm_source=statuscode&utm_medium=email
